,Title,Link,Source,Time,Description
0,'We heard rumbling like thunder',https://www.bbc.com/news/av/world-43763410,BBC News,1 小時前,"CBS reporter Seth Doane in Damascus, Syria, describes the moment the air strikes started. "
1,Trump and Putin's body language analysed,https://www.bbc.com/news/av/world-40534986,BBC News,2 小時前,Two alpha males meet - but who had the dominant handshake and who couldn't maintain eye contact? 
2,Caravan fire family's burns 'horrendous',https://www.bbc.com/news/av/uk-wales-51175521,BBC News,3 小時前,"Zac died after a touring caravan and vehicle were destroyed in the blaze early on Sunday morning in Ffair Rhos near Tregaron, Ceredigion. Neighbours described how the boys' father Shaun Harvey, 28, carried the four-year-old,... "
3,Abuse survivors seek damages over data breach,https://www.bbc.com/news/uk-northern-ireland-54076023,BBC News,3 小時前,"The Executive Office has confirmed it is in negotiations with some victims of historical abuse for financial damages after their personal details were leaked in a data breach. In May, it emerged a newsletter had been sent without... "
4,Coronavirus pandemic is jeopardizing decades of work in reducing...,https://www.cnn.com/2020/09/09/health/covid-preventable-childhood-deaths/index.html,CNN,4 小時前,"(CNN)Preventable deaths in children under 5 were at the lowest number on record in 2019 at just over 5 million, down from 12.5 million in 1990, according to a new United Nations/ World Bank report released Tuesday. ""We must not... "
